feature,importance
scaled_SPporvwretd,0.003367665078489882
scaled_usind2CRSPSCGT,0.0033166074478111966
scaled_stockvwretd,0.003287341433183177
scaled_aftret_equity,0.0030921978678566525
scaled_SPportotcnt,0.0030797932355890955
scaled_ustreb2ret,0.003071086839693109
scaled_monthCAP6RET,0.0030366763507705514
scaled_ps,0.003012551742330263
scaled_SPporspindx,0.0029863539833973056
scaled_staff_sale,0.002945737415324463
scaled_trt1m,0.0029402046868281235
scaled_monthCAP8RET,0.0027962513627631624
scaled_stocksprtrn,0.0027959024826612476
embed_75,0.0026284015006216833
scaled_stockvwUsdVal,0.002578677427135004
scaled_sale_equity,0.0025513654074209398
scaled_trfm,0.002451824415880789
embed_96,0.002442220284575136
embed_41,0.0024388440357179927
embed_48,0.0022932615341690076
embed_2,0.00202041196457848
